activation,alpha,early_stopping,hidden_layer_sizes,learning_rate,max_iter,solver,mean_test_score,std_test_score,rank_test_score
tanh,0.0001,True,10,constant,100,newton-cg,,,172
tanh,0.0001,True,10,constant,100,lbfgs,0.5333333333333334,0.053452248382484885,129
tanh,0.0001,True,10,constant,100,liblinear,,,502
tanh,0.0001,True,10,constant,100,sag,,,503
tanh,0.0001,True,10,constant,100,saga,,,504
tanh,0.0001,True,10,constant,200,newton-cg,,,505
tanh,0.0001,True,10,constant,200,lbfgs,0.5380952380952382,0.04416008807378906,125
tanh,0.0001,True,10,constant,200,liblinear,,,506
tanh,0.0001,True,10,constant,200,sag,,,507
tanh,0.0001,True,10,constant,200,saga,,,508
tanh,0.0001,True,10,constant,300,newton-cg,,,510
tanh,0.0001,True,10,constant,300,lbfgs,0.5571428571428572,0.05345224838248487,105
tanh,0.0001,True,10,constant,300,liblinear,,,518
tanh,0.0001,True,10,constant,300,sag,,,511
tanh,0.0001,True,10,constant,300,saga,,,512
tanh,0.0001,True,10,adaptive,100,newton-cg,,,513
tanh,0.0001,True,10,adaptive,100,lbfgs,0.5333333333333334,0.053452248382484885,129
tanh,0.0001,True,10,adaptive,100,liblinear,,,514
tanh,0.0001,True,10,adaptive,100,sag,,,515
tanh,0.0001,True,10,adaptive,100,saga,,,516
tanh,0.0001,True,10,adaptive,200,newton-cg,,,517
tanh,0.0001,True,10,adaptive,200,lbfgs,0.5380952380952382,0.04416008807378906,125
tanh,0.0001,True,10,adaptive,200,liblinear,,,501
tanh,0.0001,True,10,adaptive,200,sag,,,509
tanh,0.0001,True,10,adaptive,200,saga,,,500
tanh,0.0001,True,10,adaptive,300,newton-cg,,,489
tanh,0.0001,True,10,adaptive,300,lbfgs,0.5571428571428572,0.05345224838248487,105
tanh,0.0001,True,10,adaptive,300,liblinear,,,482
tanh,0.0001,True,10,adaptive,300,sag,,,483
tanh,0.0001,True,10,adaptive,300,saga,,,484
tanh,0.0001,True,"(20, 20)",constant,100,newton-cg,,,485
tanh,0.0001,True,"(20, 20)",constant,100,lbfgs,0.6142857142857142,0.07438333024673005,65
tanh,0.0001,True,"(20, 20)",constant,100,liblinear,,,486
tanh,0.0001,True,"(20, 20)",constant,100,sag,,,487
tanh,0.0001,True,"(20, 20)",constant,100,saga,,,488
tanh,0.0001,True,"(20, 20)",constant,200,newton-cg,,,490
tanh,0.0001,True,"(20, 20)",constant,200,lbfgs,0.6190476190476191,0.054294067861863735,61
tanh,0.0001,True,"(20, 20)",constant,200,liblinear,,,498
tanh,0.0001,True,"(20, 20)",constant,200,sag,,,491
tanh,0.0001,True,"(20, 20)",constant,200,saga,,,492
tanh,0.0001,True,"(20, 20)",constant,300,newton-cg,,,493
tanh,0.0001,True,"(20, 20)",constant,300,lbfgs,0.6380952380952382,0.05302632726504785,25
tanh,0.0001,True,"(20, 20)",constant,300,liblinear,,,494
tanh,0.0001,True,"(20, 20)",constant,300,sag,,,495
tanh,0.0001,True,"(20, 20)",constant,300,saga,,,496
tanh,0.0001,True,"(20, 20)",adaptive,100,newton-cg,,,497
tanh,0.0001,True,"(20, 20)",adaptive,100,lbfgs,0.6142857142857142,0.07438333024673005,65
tanh,0.0001,True,"(20, 20)",adaptive,100,liblinear,,,499
tanh,0.0001,True,"(20, 20)",adaptive,100,sag,,,520
tanh,0.0001,True,"(20, 20)",adaptive,100,saga,,,539
tanh,0.0001,True,"(20, 20)",adaptive,200,newton-cg,,,521
tanh,0.0001,True,"(20, 20)",adaptive,200,lbfgs,0.6190476190476191,0.054294067861863735,61
tanh,0.0001,True,"(20, 20)",adaptive,200,liblinear,,,542
tanh,0.0001,True,"(20, 20)",adaptive,200,sag,,,543
tanh,0.0001,True,"(20, 20)",adaptive,200,saga,,,544
tanh,0.0001,True,"(20, 20)",adaptive,300,newton-cg,,,545
tanh,0.0001,True,"(20, 20)",adaptive,300,lbfgs,0.6380952380952382,0.05302632726504785,25
tanh,0.0001,True,"(20, 20)",adaptive,300,liblinear,,,546
tanh,0.0001,True,"(20, 20)",adaptive,300,sag,,,547
tanh,0.0001,True,"(20, 20)",adaptive,300,saga,,,548
tanh,0.0001,True,"(30, 30, 30)",constant,100,newton-cg,,,550
