Category,Subcategory,Code,Filename
algorithms-data-structures,code-optimization-time-complexity,2,2
algorithms-data-structures,general,46,46
algorithms-data-structures,implementation,10,10
algorithms-data-structures,recursion,10,10
data-analysis,data-storage,12,12
data-analysis,data-visualizations,12,12
data-analysis,iris-flower-dataset-problems,10,10
data-analysis,ml-predictive-models,4,4
data-analysis,sentiment-dataset-problems,10,10
data-analysis,statistics,10,10
mathematics,algebra,2,2
mathematics,calculus-calculators,6,6
mathematics,discrete-graphs,8,8
mathematics,general,18,18
mathematics,geometry,2,2
mathematics,linear-algebra,14,14
mathematics,trig,4,4
object-oriented,general,8,8
object-oriented,inheritance-polymorphism-encapsulization,6,6
object-oriented,patterns,8,8
visual-graphical-drawing,drawing-common-objects,14,14
visual-graphical-drawing,fractals,8,8
visual-graphical-drawing,gui,18,18
visual-graphical-drawing,image-generation,8,8
visual-graphical-drawing,image-processing,12,12
