File,Category,Subcategory,More Accurate/Less Accurate,Cyclomatic Complexity,SLoC,Halstead Distinct Operators,Halstead Distinct Operands,Comments,Notes
takes-a-file-and-a-line-number-and-prints-the-line-number.py,data-analysis,data-storage,more,4,15,3,5,0,
compresses-and-decompresses-a-text-file.py,data-analysis,data-storage,more,5,28,2,5,3,
takes-a-json-file-and-reads-it-into-the-program-as-a-json-ob.py,data-analysis,data-storage,more,4,16,1,2,4,
converts-a-csv-file-to-a-json-file.py,data-analysis,data-storage,more,1,11,0,0,3,Note: had to have an input.csv file in the directory the program got ran in
generates-some-amount-of-random-numbers-and-stores-them-in-a.py,data-analysis,data-storage,more,3,11,1,2,1,
interfaces-with-a-mysql-database-library-and-puts-provided-f.py,data-analysis,data-storage,more,9,62,2,6,11,Needs mysql-connector package
displays-a-discrete-graph-needs-a-representation-and-possib.py,data-analysis,data-visualizations,less,2,12,1,2,6,It might not have understood what I meant by a discrete graph (although it did understand in other situations)
displays-a-box-and-whiskers-plot-for-an-array-of-integers.py,data-analysis,data-visualizations,more,2,12,1,2,1,
creates-a-python-script-that-takes-a-csv-file-with-the-heade.py,data-analysis,data-visualizations,more,2,11,1,2,7,"Needs data.csv in running directory and some editing of the file to select the headers, which must be numerical"
when-given-a-list-of-strings-determines-the-statistically-s.py,data-analysis,data-visualizations,more,6,14,5,13,8,
when-given-a-csv-file-with-an-id-column-and-a-timestamp-colu.py,data-analysis,data-visualizations,more,1,14,1,2,9,Uses dataTimestamp.csv
graphs-an-array-of-tuples-x-y-on-a-cartesian-coordinate-p.py,data-analysis,data-visualizations,more,1,12,0,0,7,
determines-how-far-each-number-in-a-list-of-numbers-is-from.py,data-analysis,statistics,more,2,8,1,2,4,
finds-the-outliers-in-a-data-set.py,data-analysis,statistics,more,1,13,6,11,5,
finds-the-standard-deviation-of-a-list-of-numbers.py,data-analysis,statistics,more,3,12,1,2,3,
finds-the-mean-median-mode-and-range-of-a-list-of-numbers.py,data-analysis,statistics,more,6,34,7,19,3,
when-given-a-list-of-numbers-determines-how-far-each-number.py,data-analysis,statistics,more,4,8,1,2,4,
when-given-a-csv-and-two-columns-from-the-csv-perform-a-lin.py,data-analysis,ml-predictive-models,more,1,14,1,1,7,Needs a csv with numerical data
finds-a-dataset-of-your-choice-online-and-create-a-predictiv.py,data-analysis,ml-predictive-models,more,1,15,0,0,5,"Either change the sklearn package back to 1.2 or change ""load_boston"" to ""fetch_california_housing"""
creates-a-pie-plot-to-get-the-frequency-of-the-three-species.py,data-analysis,iris-flower-dataset-problems,more,2,13,1,2,4,Change the column to target. I used this dataset: https://gist.github.com/Thanatoz-1/9e7fdfb8189f0cdf5d73a494e4a6392a#file-iris_dataset-csv
creates-a-graph-to-see-how-the-length-and-width-of-sepalleng.py,data-analysis,iris-flower-dataset-problems,more,1,22,0,0,8,Must change the column names for these as well
loads-the-iris-data-from-a-given-csv-file-into-a-dataframe-a.py,data-analysis,iris-flower-dataset-problems,more,1,6,0,0,4,no change is needed
views-basic-statistical-details-like-percentile-mean-std-e.py,data-analysis,iris-flower-dataset-problems,more,1,4,0,0,2,no change is needed
creates-a-plot-to-get-a-general-statistics-of-iris-data.py,data-analysis,iris-flower-dataset-problems,less,1,18,1,1,6,"Interpreter error, seems that the program didn't like the dataset, it says ""Objects cannot be broadcast to a single shape"""
determines-the-sentiment-of-an-amazon-product-review.py,data-analysis,sentiment-dataset-problems,more,3,16,3,3,5,Needs nltk package
takes-all-of-the-datasets-and-normalizes-the-sentences.py,data-analysis,sentiment-dataset-problems,more,5,40,2,4,3,"It did ""normalize"" the text, but it could be argued that the normalization is actually tokenization"
determines-the-sentiment-of-a-comment-on-imdb.py,data-analysis,sentiment-dataset-problems,more,4,18,4,6,6,Needs nltk
takes-one-of-the-datasets-and-vectorizes-the-text.py,data-analysis,sentiment-dataset-problems,more,1,7,0,0,5,"Needs dataset.csv with a ""text"" field that contains text"
takes-all-of-the-datasets-and-removes-the-stop-words-from-th.py,data-analysis,sentiment-dataset-problems,more,6,23,4,7,10,Needs dataset.txt that just has random text
recursively-sorts-a-stack-of-integers-that-you-randomly-gene.py,algorithms-data-structures,recursion,more,9,32,6,17,5,
uses-recursion-to-find-the-nth-fibonacci-number.py,algorithms-data-structures,recursion,more,6,16,5,10,3,
recursively-deletes-every-node-in-an-arbitrarily-long-linked.py,algorithms-data-structures,recursion,less,6,31,2,4,6,doesn't actually delete the nodes apparently?
recursively-calculates-the-value-of-n-factorial.py,algorithms-data-structures,recursion,more,4,11,5,8,4,
uses-recursion-to-find-the-occurences-of-a-letter-in-a-strin.py,algorithms-data-structures,recursion,more,4,11,2,8,6,
uses-several-common-sorting-algorithms-to-sort-an-array-of-r.py,algorithms-data-structures,general,more,23,74,10,48,11,
is-a-python-version-of-the-unix-tool-wc.py,algorithms-data-structures,general,more,2,19,0,0,3,test it by doing `cat filename | python [THIS_SCRIPT]`
swaps-the-first-and-last-elements-in-a-list.py,algorithms-data-structures,general,more,2,7,2,3,3,
finds-the-number-of-occurences-of-a-certain-letter-in-a-stri.py,algorithms-data-structures,general,more,3,10,2,4,3,
showcases-the-many-ways-to-find-the-length-of-a-list.py,algorithms-data-structures,general,more,6,29,2,8,7,"method three is correct, but not exactly what we thought we meant. It got the length of a string of the list."
